"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln ΔIL-1β (pg/ml)"," "," "," "," "," "," "," "
"2","Control","119","0.11","-0.85","1.06"," "," "," "
"3","Nutrition + WSH","129","-0.05","-0.7","1.06","0.14 (-0.13, 0.42)","0.15 (-0.14, 0.43)","-0.02 (-0.28, 0.24)"
"4","Ln ΔIL-6 (pg/ml)"," "," "," "," "," "," "," "
"5","Control","109","0.28","-0.06","1.26"," "," "," "
"6","Nutrition + WSH","110","-0.58","-0.14","1.37","-0.08 (-0.45, 0.29)","-0.09 (-0.46, 0.29)","-0.06 (-0.41, 0.29)"
"7","Ln ΔTNF-α (pg/ml)"," "," "," "," "," "," "," "
"8","Control","63","-2.11","0.14","1.14"," "," "," "
"9","Nutrition + WSH","96","-1.77","0.53","0.95","0.39 (0.03, 0.75)","0.34 (-0.11, 0.78)","0.19 (-0.31, 0.68)"
"10","Ln ΔIL-12 (pg/ml)"," "," "," "," "," "," "," "
"11","Control","89","-0.15","-0.27","1.03"," "," "," "
"12","Nutrition + WSH","121","-0.21","-0.29","1.03","-0.02 (-0.33, 0.29)","-0.02 (-0.33, 0.29)","0.09 (-0.18, 0.36)"
"13","Ln ΔIFN-γ (pg/ml)"," "," "," "," "," "," "," "
"14","Control","104","0.12","0.77","1.24"," "," "," "
"15","Nutrition + WSH","113","-1.03","0.79","1.12","0.02 (-0.3, 0.34)","-0.03 (-0.34, 0.28)","-0.13 (-0.48, 0.22)"
"16","Ln ΔIL-4 (pg/ml)"," "," "," "," "," "," "," "
"17","Control","124","1.74","2.71","1.2"," "," "," "
"18","Nutrition + WSH","109","-12.57","2.8","1.24","0.1 (-0.22, 0.41)","0.11 (-0.21, 0.43)","-0.02 (-0.37, 0.34)"
"19","Ln ΔIL-5 (pg/ml)"," "," "," "," "," "," "," "
"20","Control","107","-0.15","-0.84","1.21"," "," "," "
"21","Nutrition + WSH","97","-0.42","-0.53","1.34","0.31 (-0.06, 0.68)","0.34 (-0.05, 0.72)","0.26 (-0.19, 0.7)"
"22","Ln ΔIL-13 (pg/ml)"," "," "," "," "," "," "," "
"23","Control","117","2.05","1.07","1.46"," "," "," "
"24","Nutrition + WSH","105","-2.84","0.9","1.36","-0.17 (-0.6, 0.26)","-0.2 (-0.63, 0.22)","-0.5 (-0.86, -0.14)"
"25","Ln ΔIL-17A (pg/ml)"," "," "," "," "," "," "," "
"26","Control","95","-0.95","0.29","1.1"," "," "," "
"27","Nutrition + WSH","128","-0.45","0.49","1.06","0.2 (-0.18, 0.57)","0.25 (-0.07, 0.57)","0.11 (-0.22, 0.43)"
"28","Ln ΔIL-21 (pg/ml)"," "," "," "," "," "," "," "
"29","Control","111","-0.04","-0.31","1.04"," "," "," "
"30","Nutrition + WSH","116","-0.29","-0.3","1.22","0.01 (-0.28, 0.31)","0 (-0.3, 0.29)","0.02 (-0.3, 0.33)"
"31","Ln ΔIL-10 (pg/ml)"," "," "," "," "," "," "," "
"32","Control","85","-2.16","0.94","1.32"," "," "," "
"33","Nutrition + WSH","112","-2.81","1.01","1.18","0.07 (-0.29, 0.43)","0.09 (-0.27, 0.45)","0.1 (-0.29, 0.49)"
"34","Ln ΔIL-2 (pg/ml)"," "," "," "," "," "," "," "
"35","Control","114","0.05","-0.59","1.05"," "," "," "
"36","Nutrition + WSH","117","0.51","-0.48","1.17","0.11 (-0.19, 0.41)","0.11 (-0.18, 0.41)","0.05 (-0.23, 0.34)"
"37","Ln ΔGM-CSF (pg/ml)"," "," "," "," "," "," "," "
"38","Control","150","48.57","4.04","1.32"," "," "," "
"39","Nutrition + WSH","205","97.86","4.16","1.47","0.12 (-0.2, 0.45)","0.14 (-0.19, 0.47)","-0.07 (-0.42, 0.27)"
"40","Ln ΔIGF-1 (μg/L)"," "," "," "," "," "," "," "
"41","Control","157","12.64","2.68","1"," "," "," "
"42","Nutrition + WSH","179","10.97","2.57","0.99","-0.11 (-0.32, 0.1)","-0.13 (-0.36, 0.09)","-0.05 (-0.26, 0.15)"
